Price,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,
Date,,,,,,,,
2024-03-04,188.13999938964844,199.75,186.72000122070312,198.72999572753906,134334900,,,
2024-03-05,180.74000549316406,184.58999633789062,177.57000732421875,183.0500030517578,119660800,-0.03933237971984138,,
2024-03-06,176.5399932861328,181.5800018310547,173.6999969482422,179.99000549316406,107920900,-0.02323786698783792,,
2024-03-07,178.64999389648438,180.0399932861328,173.6999969482422,174.35000610351562,102129000,0.011951969472048907,,
2024-03-08,175.33999633789062,182.72999572753906,174.6999969482422,181.5,85544600,-0.018527834714126334,,
2024-03-11,177.77000427246094,182.8699951171875,174.8000030517578,175.4499969482422,85391500,0.013858834181150304,,
2024-03-12,177.5399932861328,179.42999267578125,172.41000366210938,177.77000427246094,87391700,-0.0012938683737420131,,
2024-03-13,169.47999572753906,176.0500030517578,169.14999389648438,173.0500030517578,106524500,-0.04539820808488959,,
2024-03-14,162.5,171.1699981689453,160.50999450683594,167.77000427246094,126325700,-0.04118477639544138,,
2024-03-15,163.57000732421875,165.17999267578125,160.75999450683594,163.16000366210938,97146800,0.006584660456730784,,
2024-03-18,173.8000030517578,174.72000122070312,165.89999389648438,170.02000427246094,108214400,0.06254200201423088,,
2024-03-19,171.32000732421875,172.82000732421875,167.4199981689453,172.36000061035156,77271400,-0.014269250195585559,,
2024-03-20,175.66000366210938,176.25,170.82000732421875,173.0,83846700,0.025332688257929448,,
2024-03-21,172.82000732421875,178.17999267578125,171.8000030517578,176.38999938964844,73178000,-0.016167575308454918,,
2024-03-22,170.8300018310547,171.1999969482422,166.3000030517578,166.69000244140625,75580600,-0.01151490226146512,,
2024-03-25,172.6300048828125,175.24000549316406,168.72999572753906,168.75999450683594,74228600,0.010536808713131895,,
2024-03-26,177.6699981689453,184.25,177.3800048828125,178.5800018310547,113186200,0.029195349264770964,,
2024-03-27,179.8300018310547,181.91000366210938,176.0,181.41000366210938,81804000,0.012157391142962881,,
2024-03-28,175.7899932861328,179.57000732421875,175.3000030517578,177.4499969482422,77654800,-0.022465709302040393,,
2024-04-01,175.22000122070312,176.75,170.2100067138672,176.1699981689453,81562100,-0.003242460249155976,174.792000579834,
2024-04-02,166.6300048828125,167.69000244140625,163.42999267578125,164.75,116650600,-0.049024062767074494,173.71650085449218,
2024-04-03,168.3800048828125,168.82000732421875,163.27999877929688,164.02000427246094,82950100,0.01050231020055925,173.0985008239746,
2024-04-04,171.11000061035156,177.19000244140625,168.00999450683594,170.07000732421875,123162000,0.016213301154368365,172.82700119018554,
2024-04-05,164.89999389648438,170.86000061035156,160.50999450683594,169.0800018310547,143157600,-0.036292482565110196,172.13950119018554,
2024-04-08,172.97999572753906,174.5,167.7899932861328,169.33999633789062,104423300,0.04899940648952894,172.02150115966796,
2024-04-09,176.8800048828125,179.22000122070312,171.9199981689453,172.91000366210938,102951700,0.02254601255405486,171.97700119018555,
2024-04-10,171.75999450683594,174.92999267578125,170.00999450683594,173.0399932861328,84532400,-0.028946236061948905,171.6880012512207,
2024-04-11,174.60000610351562,175.8800048828125,168.50999450683594,172.5500030517578,94516000,0.01653476762638495,171.94400177001953,
2024-04-12,171.0500030517578,173.80999755859375,170.36000061035156,172.33999633789062,64722700,-0.020332204625772565,172.37150192260742,
2024-04-15,161.47999572753906,170.69000244140625,161.3800048828125,170.24000549316406,100245300,-0.05594859487563397,172.26700134277343,
2024-04-16,157.11000061035156,158.19000244140625,153.75,156.74000549316406,97000000,-0.027062145360474688,171.43250122070313,
2024-04-17,155.4499969482422,158.3300018310547,153.77999877929688,157.63999938964844,82439700,-0.010565868854054306,170.6390007019043,
2024-04-18,149.92999267578125,152.1999969482422,148.6999969482422,151.25,96098800,-0.03550983840996058,169.35250015258788,
2024-04-19,147.0500030517578,150.94000244140625,146.22000122070312,148.97000122070312,87074500,-0.0192088959161848,168.06399993896486,
2024-04-22,142.0500030517578,144.44000244140625,138.8000030517578,140.55999755859375,107097600,-0.03400203941675628,166.625,
2024-04-23,144.67999267578125,147.25999450683594,141.11000061035156,143.3300018310547,124545100,0.018514534090260826,165.22749938964844,
2024-04-24,162.1300048828125,167.97000122070312,157.50999450683594,162.83999633789062,181178000,0.12061109407252757,164.45049972534179,
2024-04-25,170.17999267578125,170.8800048828125,158.36000061035156,158.9600067138672,126427500,0.04965143743002587,163.96799926757814,
2024-04-26,168.2899932861328,172.1199951171875,166.3699951171875,168.85000610351562,109815700,-0.011105884774887609,163.59299926757814,
2024-04-29,194.0500030517578,198.8699951171875,184.5399932861328,188.4199981689453,243869700,0.1530691710339953,164.53449935913085,
2024-04-30,183.27999877929688,190.9499969482422,182.83999633789062,186.97999572753906,127031800,-0.05550118063944742,165.36699905395508,
2024-05-01,179.99000549316406,185.86000061035156,179.00999450683594,182.0,92829700,-0.017950640048260635,165.94749908447267,
2024-05-02,180.00999450683594,184.60000610351562,176.02000427246094,182.86000061035156,89148000,0.0001110562423569661,166.3924987792969,
2024-05-03,181.19000244140625,184.77999877929688,178.4199981689453,182.10000610351562,75491500,0.006555235656792835,167.20699920654297,
2024-05-06,184.75999450683594,187.55999755859375,182.1999969482422,183.8000030517578,84390300,0.019703030064167848,167.7959991455078,
2024-05-07,177.80999755859375,183.25999450683594,177.39999389648438,182.39999389648438,75045900,-0.03761635178001177,167.84249877929688,
2024-05-08,174.72000122070312,176.05999755859375,170.14999389648438,171.58999633789062,79969500,-0.017378079862311324,167.99049911499023,
2024-05-09,171.97000122070312,175.6199951171875,171.3699951171875,175.00999450683594,65950300,-0.01573946875450305,167.8589988708496,
2024-05-10,168.47000122070312,173.05999755859375,167.75,173.0500030517578,72627200,-0.02035238689978358,167.72999877929686,
2024-05-13,171.88999938964844,175.39999389648438,169.0,170.0,67018900,0.020300339194899042,168.25049896240233,171.21239990234375
2024-05-14,177.5500030517578,179.49000549316406,174.07000732421875,174.5,86407400,0.03292805679333921,169.27249908447266,171.00059997558594
2024-05-15,173.99000549316406,180.0,173.11000061035156,179.89999389648438,79663000,-0.02005067585133169,170.19949951171876,170.86559997558595
2024-05-16,174.83999633789062,175.7899932861328,171.42999267578125,174.10000610351562,59812200,0.004885285464054867,171.44499969482422,170.8316000366211
2024-05-17,177.4600067138672,179.6300048828125,172.75,173.5500030517578,77445800,0.014985188920464187,172.9654998779297,170.80780029296875
2024-05-20,174.9499969482422,177.75,173.52000427246094,177.55999755859375,61727400,-0.014144086952910362,174.6104995727539,170.8000003051758
2024-05-21,186.60000610351562,186.8800048828125,174.7100067138672,175.50999450683594,115266500,0.06659050790792542,176.7065002441406,170.97660034179688
2024-05-22,180.11000061035156,183.8000030517578,178.1199951171875,182.85000610351562,88313500,-0.03478030697150003,177.6055000305176,171.02800048828124
2024-05-23,173.74000549316406,181.89999389648438,173.25999450683594,181.8000030517578,71975500,-0.03536724832380789,177.78350067138672,171.11320068359376
2024-05-24,179.24000549316406,180.0800018310547,173.72999572753906,174.83999633789062,65584500,0.03165649721483632,178.33100128173828,171.44800079345703
2024-05-28,176.75,178.25,173.16000366210938,176.39999389648438,59736600,-0.01389201861667555,177.46600112915038,171.71160064697267
2024-05-29,176.19000244140625,178.14999389648438,173.92999267578125,174.19000244140625,54782600,-0.0031683030189180172,177.11150131225585,171.75940063476563
2024-05-30,178.7899932861328,182.6699981689453,175.3800048828125,178.5800018310547,77618400,0.014756744473008343,177.0515007019043,171.90880035400392
2024-05-31,178.0800018310547,180.32000732421875,173.82000732421875,178.5,67314600,-0.003971091681523098,176.95500106811522,171.9572003173828
2024-06-03,176.2899932861328,182.63999938964844,174.49000549316406,178.1300048828125,68568900,-0.0100517100545634,176.71000061035156,172.0266000366211
2024-06-04,174.77000427246094,177.75999450683594,174.0,174.77999877929688,60056300,-0.008622094682395387,176.21050109863282,172.10540008544922
2024-06-05,175.0,176.14999389648438,172.1300048828125,175.35000610351562,57953800,0.0013159908560766986,176.07000122070312,172.15279998779297
2024-06-06,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000,0.01680001395089281,176.2310012817383,172.1582000732422
2024-06-07,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900,-0.0025851787543875737,176.5065010070801,172.11119995117187
2024-06-10,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50774600,-0.020791089307163446,176.77250061035156,172.07119995117188
2024-06-11,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900,-0.018010183238054034,176.71100082397462,171.98
2024-06-12,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400,0.03884911216309472,176.69800033569337,172.1931997680664
2024-06-13,182.47000122070312,191.0800018310547,181.22999572753906,188.38999938964844,118984100,0.029217711832219218,177.12200012207032,172.47499969482422
2024-06-14,178.00999450683594,186.0,176.9199981689453,185.8000030517578,82038200,-0.024442410719736185,177.28050003051757,172.6129995727539
2024-06-17,187.44000244140625,188.80999755859375,177.0,177.9199981689453,109786100,0.052974598199923895,177.77949981689454,173.06379974365234
2024-06-18,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300,-0.013764414198944475,178.275,173.30139984130858
2024-06-20,181.57000732421875,185.2100067138672,179.66000366210938,184.67999267578125,55893100,-0.017797215597047833,178.02350006103515,173.39519989013672
2024-06-21,183.00999450683594,183.9499969482422,180.69000244140625,182.3000030517578,61937300,0.00793075466503601,178.1684997558594,173.62019989013672
2024-06-24,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100,-0.0023495584322592578,178.6104995727539,173.7797998046875
2024-06-25,187.35000610351562,187.97000122070312,182.00999450683594,184.39999389648438,62905700,0.026125557150967316,179.0159996032715,174.10579986572264
2024-06-26,196.3699951171875,197.75999450683594,186.36000061035156,186.5399932861328,95737100,0.04814512260377568,179.99699935913085,174.80359985351564
2024-06-27,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500,0.0053470646120412635,181.05849914550782,175.6097998046875
2024-06-28,197.8800048828125,203.1999969482422,195.25999450683594,199.5500030517578,95438100,0.002330091774560339,182.01299972534179,176.4583999633789
2024-07-01,209.86000061035156,213.22999572753906,200.85000610351562,201.02000427246094,135691400,0.060541719385108106,183.60199966430665,177.65700012207031
2024-07-02,231.25999450683594,231.3000030517578,218.05999755859375,218.88999938964844,205047900,0.10197271435359379,186.3504997253418,179.3411999511719
2024-07-03,246.38999938964844,248.35000610351562,234.25,234.55999755859375,166561500,0.06542422054051067,189.93149948120117,181.4279998779297
2024-07-05,251.52000427246094,252.3699951171875,242.4600067138672,249.80999755859375,154501200,0.02082067005771515,193.75749969482422,183.56480010986328
2024-07-08,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600,0.005645666924397386,197.50749969482422,185.38100006103517
2024-07-09,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900,0.03712336538398886,201.74999923706054,187.22399993896485
2024-07-10,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400,0.003545241645880992,206.22350006103517,189.1234002685547
2024-07-11,241.02999877929688,271.0,239.64999389648438,263.29998779296875,221707300,-0.08444127539962887,209.74199981689452,190.06300018310546
2024-07-12,248.22999572753906,251.83999633789062,233.08999633789062,235.8000030517578,155955800,0.029871787680814776,213.28899993896485,191.3620001220703
2024-07-15,252.63999938964844,265.6000061035156,251.72999572753906,255.97000122070312,146912900,0.01776579679334911,216.7974998474121,192.815
2024-07-16,256.55999755859375,258.6199951171875,245.8000030517578,255.30999755859375,126332500,0.015516142251486675,220.725,194.34600006103517
2024-07-17,248.5,258.4700012207031,246.17999267578125,252.72999572753906,115584800,-0.031415644041518975,223.7779998779297,195.69220001220702
2024-07-18,249.22999572753906,257.1400146484375,247.1999969482422,251.08999633789062,110869000,0.002937608561525362,226.99649963378906,196.9816000366211
2024-07-19,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900,-0.040243947162209914,229.87799911499025,198.20940002441407
2024-07-22,251.50999450683594,253.2100067138672,243.75,244.2100067138672,101225400,0.05146320115237035,233.30299911499023,199.74519989013672
2024-07-23,246.3800048828125,255.75999450683594,245.6300048828125,253.60000610351562,111928200,-0.020396762498772203,236.4929992675781,201.2333999633789
2024-07-24,215.99000549316406,225.99000549316406,214.7100067138672,225.4199981689453,167942900,-0.12334604589403697,237.92499923706055,202.18380004882812
2024-07-25,220.25,226.0,216.22999572753906,216.8000030517578,100636500,0.01972310939623889,239.11899948120117,203.15100006103515
2024-07-26,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100,-0.0020431189477511102,240.2379997253418,203.99600006103515
2024-07-29,232.10000610351562,234.27000427246094,224.6999969482422,224.89999389648438,129201800,0.055959976710561854,241.94899978637696,205.1582000732422
2024-07-30,222.6199951171875,232.41000366210938,220.0,232.25,100560300,-0.04084450985365373,242.58699951171874,206.11380004882812
2024-07-31,232.07000732421875,234.67999267578125,226.7899932861328,227.89999389648438,67497000,0.04244907202543402,242.62750015258788,207.20600006103516
2024-08-01,216.86000061035156,231.8699951171875,214.3300018310547,227.69000244140625,83861900,-0.06554059651757449,241.15100021362304,208.04420013427733
2024-08-02,207.6699981689453,216.1300048828125,205.77999877929688,214.8800048828125,82880100,-0.042377581921705376,238.95849990844727,208.46559997558595
2024-08-05,198.8800048828125,203.8800048828125,182.0,185.22000122070312,100308800,-0.04232673647438423,236.25550003051757,208.84100006103515
2024-08-06,200.63999938964844,202.89999389648438,192.6699981689453,200.75,73783900,0.008849529684359148,233.1710006713867,209.37899993896485
2024-08-07,191.75999450683594,203.49000549316406,191.47999572753906,200.77000427246094,71159800,-0.044258397676563366,229.59599990844725,209.62939971923828
2024-08-08,198.83999633789062,200.6999969482422,192.0399932861328,195.6999969482422,65033900,0.036921162045623124,227.48649978637695,210.0711996459961
2024-08-09,200.0,200.8800048828125,195.11000061035156,197.0500030517578,58648300,0.005833854775063374,225.075,210.54739959716798
2024-08-12,197.49000549316406,199.25999450683594,194.6699981689453,199.02000427246094,64044900,-0.012549972534179665,222.31750030517577,210.92139984130858
2024-08-13,207.8300018310547,208.49000549316406,197.05999755859375,198.47000122070312,76247400,0.05235706137163754,219.88100051879883,211.51639984130858
2024-08-14,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000,-0.0310349655555765,217.52500076293944,212.01820007324218
2024-08-15,214.13999938964844,215.8800048828125,204.82000732421875,205.02000427246094,89848500,0.06336276788880446,215.77050094604493,212.80559997558595
2024-08-16,216.1199951171875,219.8000030517578,210.8000030517578,211.14999389648438,88765100,0.009246267550119258,214.6165008544922,213.62799987792968
2024-08-19,222.72000122070312,222.97999572753906,214.08999633789062,217.07000732421875,76435200,0.030538618603692225,213.17700119018554,214.52359985351563
2024-08-20,221.10000610351562,228.22000122070312,219.55999755859375,224.8800048828125,74001200,-0.007273684933137958,211.9130012512207,215.39600006103515
2024-08-21,223.27000427246094,224.66000366210938,218.86000061035156,222.6699981689453,70146000,0.009814554993405888,212.27700119018556,216.3856002807617
2024-08-22,210.66000366210938,224.8000030517578,210.32000732421875,223.82000732421875,79514500,-0.056478704568676985,211.79750137329103,217.18560028076172
2024-08-23,220.32000732421875,221.47999572753906,214.2100067138672,214.4600067138672,81525200,0.04585589810206048,211.82350158691406,218.04620056152345
2024-08-26,213.2100067138672,219.08999633789062,211.00999450683594,218.75,59301200,-0.0322712435275504,210.87900161743164,218.66100067138672
2024-08-27,209.2100067138672,215.66000366210938,206.94000244140625,213.25,62821400,-0.018760845523390857,210.20850219726563,219.28500091552735
2024-08-28,205.75,211.83999633789062,202.58999633789062,209.72000122070312,64116400,-0.01653843794670573,208.8925018310547,219.6512008666992
2024-08-29,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800,0.002575935743848623,208.36350173950194,220.07960083007814
2024-08-30,214.11000061035156,214.57000732421875,207.02999877929688,208.6300048828125,63370600,0.03795812428442069,208.68550186157228,220.73040069580077
2024-09-03,210.60000610351562,219.89999389648438,209.63999938964844,215.25999450683594,76714200,-0.016393416920415627,209.27150192260743,221.28220092773438
2024-09-04,219.41000366210938,222.22000122070312,210.57000732421875,210.58999633789062,80651800,0.04183284569452206,210.21000213623046,222.01880096435548
2024-09-05,230.1699981689453,235.0,222.25,223.49000549316406,119355000,0.04904058305110959,212.13050231933593,222.87520080566406
2024-09-06,210.72999572753906,233.60000610351562,210.50999450683594,232.60000610351562,112177000,-0.0844593239607937,212.72500228881836,223.1624008178711
2024-09-09,216.27000427246094,219.8699951171875,213.6699981689453,216.1999969482422,67443500,0.026289605928169646,213.53850250244142,223.5394009399414
2024-09-10,226.1699981689453,226.39999389648438,218.63999938964844,220.07000732421875,78891100,0.04577608406578748,214.97250213623047,224.10520080566405
2024-09-11,228.1300048828125,228.47000122070312,216.8000030517578,224.5500030517578,83548600,0.008666077418469476,215.98750228881835,224.4706008911133
2024-09-12,229.80999755859375,231.4499969482422,223.8300018310547,224.66000366210938,71894900,0.007364189890953776,217.40900192260742,224.44160095214843
2024-09-13,230.2899932861328,232.6699981689453,226.32000732421875,228.0,59515100,0.0020886633855721204,218.21650161743165,224.11960083007813
2024-09-16,226.77999877929688,229.9600067138672,223.52999877929688,229.3000030517578,54323000,-0.015241628421408637,218.7495018005371,223.62480072021484
2024-09-17,227.8699951171875,234.57000732421875,226.5500030517578,229.4499969482422,66761600,0.004806404196833203,219.00700149536132,223.12340057373046
2024-09-18,227.1999969482422,235.67999267578125,226.8800048828125,230.08999633789062,78010200,-0.0029402649901351108,219.31200103759767,222.42080078125
2024-09-19,243.9199981689453,244.24000549316406,232.1300048828125,234.0,102694600,0.07359155565707187,220.34450073242186,222.0340005493164
2024-09-20,238.25,243.99000549316406,235.9199981689453,241.52000427246094,99879100,-0.02324531900421767,221.7240005493164,221.97840057373048
2024-09-23,250.0,250.0,241.9199981689453,242.61000061035156,86927200,0.04931794333683115,223.20800018310547,222.01380065917968
2024-09-24,254.27000427246094,257.19000244140625,249.0500030517578,254.0800018310547,88491000,0.017080017089843746,225.26100006103516,222.04640075683594
2024-09-25,257.0199890136719,257.04998779296875,252.27999877929688,252.5399932861328,65034300,0.010815214909361437,227.6514991760254,222.0556005859375
2024-09-26,254.22000122070312,261.75,251.52999877929688,260.6000061035156,67142200,-0.01089404681602335,230.07499923706055,222.17000061035156
2024-09-27,260.4599914550781,260.70001220703125,254.1199951171875,257.3800048828125,70988100,0.024545630573566513,232.78399887084962,222.39460052490233
2024-09-30,261.6300048828125,264.8599853515625,255.77000427246094,259.0400085449219,80705700,0.004492104223754234,235.15999908447264,222.84320068359375
2024-10-01,258.0199890136719,263.9800109863281,248.52999877929688,262.6700134277344,87397600,-0.013798172234708361,237.53099822998047,222.97340057373046
2024-10-02,249.02000427246094,251.16000366210938,241.5,247.5500030517578,93983900,-0.03488095932262847,239.01149826049806,223.02620056152344
2024-10-03,240.66000366210938,249.7899932861328,237.80999755859375,244.47999572753906,80729200,-0.03357160254966751,239.53599853515624,223.51960052490233
2024-10-04,250.0800018310547,250.9600067138672,244.5800018310547,246.69000244140625,86573200,0.03914235030998814,241.50349884033204,224.11620056152344
2024-10-07,240.8300018310547,249.8300018310547,240.6999969482422,249.0,68113300,-0.03698816351676526,242.73149871826172,224.53680053710937
2024-10-08,244.5,246.2100067138672,240.55999755859375,243.55999755859375,56303200,0.015238957526229946,243.64799880981445,224.78480041503906
2024-10-09,241.0500030517578,247.42999267578125,239.50999450683594,243.82000732421875,66289500,-0.014110416966225725,244.29399871826172,225.15340057373047
2024-10-10,238.77000427246094,242.7899932861328,232.33999633789062,241.80999755859375,83087100,-0.009458613360014412,244.74199905395508,225.2874005126953
2024-10-11,217.8000030517578,223.33999633789062,214.3800048828125,220.1300048828125,142628900,-0.08782510719719305,244.11749954223632,225.30620056152344
2024-10-14,219.16000366210938,221.91000366210938,213.74000549316406,220.1300048828125,86291900,0.00624426350457119,243.73649978637695,225.53600067138672
2024-10-15,219.57000732421875,224.25999450683594,217.1199951171875,220.00999450683594,62988800,0.0018707960177875016,243.3215003967285,225.94980072021485
2024-10-16,221.3300018310547,222.82000732421875,218.92999267578125,221.39999389648438,49632800,0.008015641700267029,243.02800064086915,226.36360076904296
2024-10-17,220.88999938964844,222.0800018310547,217.89999389648438,221.58999633789062,50791800,-0.001987992760882462,241.8765007019043,226.94620086669923
2024-10-18,220.6999969482422,222.27999877929688,219.22999572753906,220.7100067138672,49611900,-0.0008601676940163117,240.9990005493164,227.38340087890626
2024-10-21,218.85000610351562,220.47999572753906,215.72999572753906,218.89999389648438,47329000,-0.008382378207102636,239.44150085449218,227.76040100097657
2024-10-22,217.97000122070312,218.22000122070312,215.25999450683594,217.30999755859375,43268700,-0.004021041161846095,237.6265007019043,228.17000091552734
2024-10-23,213.64999389648438,218.72000122070312,212.11000061035156,217.1300048828125,80938900,-0.019819274670942355,235.45800094604493,228.28640075683595
2024-10-24,260.4800109863281,262.1199951171875,242.64999389648438,244.67999267578125,204491900,0.21919035070290427,235.77100143432617,229.46840087890624
2024-10-25,269.19000244140625,269.489990234375,255.32000732421875,256.010009765625,161611900,0.03343823359841336,236.20750198364257,230.5694009399414
2024-10-28,262.510009765625,273.5400085449219,262.239990234375,270.0,107653600,-0.024815158866218545,236.2515022277832,231.49720123291016
2024-10-29,259.5199890136719,264.9800109863281,255.50999450683594,264.510009765625,80521800,-0.01139012091242797,236.3265022277832,232.23320098876954
2024-10-30,257.54998779296875,263.3500061035156,255.82000732421875,258.0400085449219,53993600,-0.007590942139718337,236.75300140380858,232.96220062255858
2024-10-31,249.85000610351562,259.75,249.25,257.989990234375,66575300,-0.029897037679701755,237.2125015258789,233.4938006591797
